province,period,published_millions,reconstructed_millions,delta_millions,delta_pct,iibb_millions,iibb_share_pct,source_current,status
Córdoba,2026-06,361577.453305,361577.453305,0.000000,0.000000,271632.288984,75.124233,top_mensual_2026_normalizado.csv,ok
Entre Ríos,2026-01,87247.694632,87247.694632,0.000000,0.000000,71086.671954,81.476848,top_mensual_2026_normalizado.csv,ok
Entre Ríos,2026-02,97856.766228,97856.766228,0.000000,0.000000,64033.055967,65.435492,top_mensual_2026_normalizado.csv,ok
Entre Ríos,2026-03,85191.383977,85191.383977,0.000000,0.000000,61766.402625,72.503110,top_mensual_2026_normalizado.csv,ok
Entre Ríos,2026-04,120566.054311,120566.054311,0.000000,0.000000,67785.222425,56.222477,top_mensual_2026_normalizado.csv,ok
Entre Ríos,2026-05,125713.911097,125713.911097,-0.000000,-0.000000,67360.573766,53.582434,top_mensual_2026_normalizado.csv,ok
Entre Ríos,2026-06,100416.752399,100416.752399,0.000000,0.000000,71000.459527,70.705791,top_mensual_2026_normalizado.csv,ok
Formosa,2026-01,15337.236645,15337.236645,0.000000,0.000000,13853.670832,90.327033,top_mensual_2026_normalizado.csv,ok
Formosa,2026-02,14915.340473,14915.340473,-0.000000,-0.000000,13091.204405,87.770068,top_mensual_2026_normalizado.csv,ok
Formosa,2026-03,14625.078967,14625.078967,0.000000,0.000000,12710.472874,86.908747,top_mensual_2026_normalizado.csv,ok
Formosa,2026-04,16070.018567,16070.018567,0.000000,0.000000,13819.897482,85.998018,top_mensual_2026_normalizado.csv,ok
Formosa,2026-05,18376.465102,18376.465102,-0.000000,-0.000000,16554.107374,90.083198,top_mensual_2026_normalizado.csv,ok
Formosa,2026-06,18166.197110,18166.197110,0.000000,0.000000,16142.334237,88.859182,top_mensual_2026_normalizado.csv,ok
Formosa,2026-07,18400.987696,18400.987696,0.000000,0.000000,16466.410045,89.486555,top_mensual_2026_normalizado.csv,ok
Jujuy,2026-01,30033.856496,30033.856496,0.000000,0.000000,25337.645064,84.363608,top_mensual_2026_normalizado.csv,ok
Jujuy,2026-02,29678.524675,29678.524675,0.000000,0.000000,23522.391473,79.257280,top_mensual_2026_normalizado.csv,ok
Jujuy,2026-03,29268.829423,29268.829423,0.000000,0.000000,23692.420305,80.947618,top_mensual_2026_normalizado.csv,ok
Jujuy,2026-04,28737.883563,28737.883563,0.000000,0.000000,24783.802606,86.240876,top_mensual_2026_normalizado.csv,ok
Jujuy,2026-05,29820.210141,29820.210141,0.000000,0.000000,26407.681451,88.556322,top_mensual_2026_normalizado.csv,ok
