impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
2,4,SERVICIOS ECONOMICOS,8,Seguros y Finanzas,19119.56032889,18512.99904317,18347.23090465,2025,2025-02,True,8052.9927,29147.71898162,28223.01791124,27970.30482399
2,5,DEUDA PUBLICA,1,Servicio de la Deuda Pública,1413387.26543592,1413387.26543592,1306535.79307186,2025,2025-02,True,8052.9927,2154705.13528923,2154705.13528923,1991810.34923422
3,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,41331.79832843,31230.76829363,31179.99112686,2025,2025-03,True,8353.3158,60744.83816802,45899.47794636,45824.85136579
3,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,194081.59317453,199765.63278012,189435.23220268,2025,2025-03,True,8353.3158,285239.34223951,293593.10568427,278410.64238323
3,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,33610.55474888,29012.28268226,26378.61670762,2025,2025-03,True,8353.3158,49397.02097486,42638.99679406,38768.330143
3,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,105162.64181553,68261.87483216,27687.44454141,2025,2025-03,True,8353.3158,154556.24765331,100323.64202437,40691.89839236
3,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,190266.9208471,167015.95946925,147184.51565175,2025,2025-03,True,8353.3158,279632.96500539,245461.31162304,216315.2813497
3,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,6362.97858802,6035.91045203,3644.26355677,2025,2025-03,True,8353.3158,9351.59175811,8870.90372143,5355.92954941
3,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,7101.40724605,7192.10361743,5913.64021225,2025,2025-03,True,8353.3158,10436.85131962,10570.14666666,8691.20464642
3,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,15900.42330798,3029.85824056,2604.01530506,2025,2025-03,True,8353.3158,23368.65753992,4452.94557552,3827.08942485
3,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,300154.00130164,152217.22727964,141584.62264916,2025,2025-03,True,8353.3158,441132.66230686,223711.79603685,208085.18713755
3,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,1151742.96408774,222431.47779882,205317.68481065,2025,2025-03,True,8353.3158,1692702.53882316,326904.82071446,301752.88860528
3,2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,214550.60048832,47051.72476999,41446.22814643,2025,2025-03,True,8353.3158,315322.39178059,69151.3440564,60913.01427109
