province,source,year,period_type,period,tax,value_millions
Chaco,top_mensual_2026_12.xlsx,2026,month,2026-07,Sellos,5987.10957579
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,49522.08536618
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,30.51375346
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,965.01556551
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,17088.20476021
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,45753.88642221
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,21.95354207
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,1539.09329535
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,7999.14407822
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,41764.97493621
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,27.9384995
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,833.02315976
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,17134.04986435
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,46964.932341
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,47.35809269
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,376.71736963999996
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,10640.71081016
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,48912.07546669
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,127.85455177
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,113.85371247
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,8178.84781402
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,48360.67790492
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,120.65745720999999
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,348.62374388
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,8711.01707292
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-07,Automotores,0.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-07,Iibb,59118.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-07,Inmobiliario,59.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-07,Otros,126.0
Chubut,top_mensual_2026_12.xlsx,2026,month,2026-07,Sellos,8040.0
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,0.0
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,31388.155612849998
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,295.86017554000006
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,76.43936335
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,4915.402439829999
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,0.0
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,30211.81
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,310.06834559000004
Corrientes,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,47.31761615999999
