province,source,year,period_type,period,tax,value_millions
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,224.8912512885334
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,77770.58874077
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,743407.4073633419
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,70814.42386757
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,1124259.3279533128
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,127092.92974153094
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,338.90751635853337
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,169005.46634922997
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,1491511.055428002
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,93430.5696472
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,1801401.90214099
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,161841.93258806
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,440.62751014
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,272441.49208624
Córdoba,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,2329556.52397263
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,23509.41492034
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,146349.02730885998
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,2487.83800385
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,14.78015916
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,18250.52559002
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,190611.58598223
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,43786.245556760005
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,307249.32495167
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,47288.64894720999
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,36.67119168
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,38966.17371204
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,437327.06435936
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,77973.30163037
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,489437.56251557
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,71782.50453241999
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,61.0847072
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,62124.55593342
Entre Ríos,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,701379.0093189798
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,0.0
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,31967.22746789
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,202.37615336
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,29.14024621
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,4158.40355306
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,36357.14742052
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,0.0
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,66467.58117408
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,400.27911108
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,110.76092851
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,9338.14358644
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,76316.76480011
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,104003.80810824
Formosa,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,598.54891185
