province,period,metric,current_nominal_millions,prev_year_nominal_millions,source_current,source_prev_year,status,notes
Misiones,2026-03,ron_total,160767.258517,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-01,ron_total,97266.622484,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-02,ron_total,91002.485619,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Neuquén,2026-03,ron_total,85235.644790,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-01,ron_total,137907.406810,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-02,ron_total,128742.263907,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Río Negro,2026-03,ron_total,119397.235545,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Salta,2026-01,ron_total,220571.709265,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Salta,2026-02,ron_total,208825.091923,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Salta,2026-03,ron_total,195243.758150,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-01,ron_total,183022.698719,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-02,ron_total,170210.617683,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Juan,2026-03,ron_total,157060.816553,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-01,ron_total,122760.017037,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-02,ron_total,114453.653485,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
San Luis,2026-03,ron_total,105835.861524,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-01,ron_total,87210.037454,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-02,ron_total,80849.441327,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Cruz,2026-03,ron_total,76247.380425,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Fe,2026-01,ron_total,497876.706126,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Fe,2026-02,ron_total,463176.169046,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santa Fe,2026-03,ron_total,425013.957099,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-01,ron_total,0.000000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-02,ron_total,0.000000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Santiago del Estero,2026-03,ron_total,0.000000,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-01,ron_total,67247.826212,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-02,ron_total,62741.363331,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tierra del Fuego,2026-03,ron_total,58579.758267,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-01,ron_total,261453.187499,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-02,ron_total,252771.069225,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
Tucumán,2026-03,ron_total,224599.866179,,informacion_consolidada_2026_normalizado.csv,,prefilled_current_only,
