province,security_rate_2024,security_rate_2025,security_change_pct,source_security,education_language_high_2024,education_math_high_2024,education_language_high_2022,education_math_high_2022,education_student_participation_pct,education_school_participation_pct,source_education,health_infant_mortality_2022,health_infant_mortality_2023,health_infant_mortality_2024,health_infant_mortality_avg_2022_2024,population_2024,source_health,nbi_households_pct_2010,nbi_households_pct_2022,nbi_housing_pct_2022,nbi_sanitary_pct_2022,nbi_overcrowding_pct_2022,spend_security_pc_2024,spend_health_pc_2024,spend_education_culture_pc_2024,spend_social_assistance_pc_2024,education_rank_eligible,source_social,source_spending
La Pampa,1.33023654266202,1.59238204430007,19.70668322743969,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_42&start_date=2024-01-01&limit=10,62.7,19.6,63.5,20.4,81.3,99.3,https://www.argentina.gob.ar/sites/default/files/2025/07/la_pampa_2024.pdf,6.9,9.0,6.6,7.5,375873,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,3.8,2.6,0.8,0.2,1.2,194070.09882133725,624704.9082121884,671691.2383212569,449115.5540459869,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
La Rioja,0.995413631691979,2.72562608870178,173.81844109054737,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_46&start_date=2024-01-01&limit=10,49.6,9.2,49.1,8.9,85.9,100.0,https://www.argentina.gob.ar/sites/default/files/2025/07/la_rioja_2024.pdf,10.7,10.3,11.7,10.9,401843,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,12.3,8.0,3.5,0.9,3.1,167182.29607456143,349310.37254243554,540044.0386916541,130237.53297608768,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Mendoza,3.47657303912712,3.17509785407348,-8.671619484494785,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_50&start_date=2024-01-01&limit=10,55.8,17.3,56.5,16.9,81.0,97.7,https://www.argentina.gob.ar/sites/default/files/2025/07/mendoza_2024.pdf,6.7,5.8,7.6,6.7,2042241,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,7.7,6.4,1.5,0.9,3.0,120804.90550123635,157980.88620566824,368221.374579769,61531.63072174634,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Misiones,3.44922478672918,3.34729776370756,-2.9550704672476558,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_54&start_date=2024-01-01&limit=10,51.6,10.8,50.6,9.5,75.7,96.7,https://www.argentina.gob.ar/sites/default/files/2025/07/misiones_2024.pdf,8.2,8.8,9.5,8.833333333333334,1333633,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,15.7,8.7,3.6,1.3,2.5,139542.33935483,351992.58232163574,442330.6365279204,207893.51985608484,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Neuquén,4.29547114159305,5.6913900651095,32.49745784577076,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_58&start_date=2024-01-01&limit=10,58.0,17.8,63.2,22.4,42.5,62.3,https://www.argentina.gob.ar/sites/default/files/2025/07/neuquen_2024.pdf,4.4,7.0,7.1,6.166666666666667,698410,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,10.4,6.6,3.0,0.6,2.8,356468.6931744964,820710.9004739338,1564651.9952463454,146823.78545553473,False,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Río Negro,4.46092295221332,3.16994185058669,-28.939775814466827,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_62&start_date=2024-01-01&limit=10,58.7,19.6,59.5,19.5,65.4,98.0,https://www.argentina.gob.ar/sites/default/files/2025/07/rio_negro_2024.pdf,8.2,7.1,8.3,7.866666666666667,784591,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,9.5,5.9,2.4,0.6,2.6,257610.11092403557,294921.30242381064,706179.2651708055,55565.5623375746,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Salta,4.59357966179094,3.16175327964631,-31.170165482367864,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_66&start_date=2024-01-01&limit=10,55.8,16.6,55.4,14.3,86.5,98.6,https://www.argentina.gob.ar/sites/default/files/2025/07/salta_2024.pdf,8.9,9.8,10.1,9.6,1480327,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,19.5,14.2,6.8,2.4,4.7,205528.1680896653,310740.1281402757,477521.41662190855,50178.52046888964,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
San Juan,1.1831505168593,1.41323280537311,19.446578033416138,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_70&start_date=2024-01-01&limit=10,49.8,11.2,53.5,11.4,84.3,97.7,https://www.argentina.gob.ar/sites/default/files/2025/07/san_juan_2024.pdf,8.3,8.9,9.2,8.799999999999999,845201,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,10.3,8.1,2.0,1.1,3.6,185823.77054290043,336010.6761419355,511008.3091625661,78937.61107893861,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
San Luis,2.99925955779667,1.30554876877426,-56.47096412911499,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_74&start_date=2024-01-01&limit=10,53.5,13.5,56.3,14.0,81.3,92.2,https://www.argentina.gob.ar/sites/default/files/2025/07/san_luis_2024.pdf,8.5,6.0,6.3,6.933333333333334,533465,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,7.9,6.5,2.1,1.0,2.7,183332.13590207417,436544.3438819791,600340.1458071289,13974.513160188579,True,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
Santa Cruz,1.7923716661887,4.47824023071894,149.84997895227127,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_78&start_date=2024-01-01&limit=10,55.6,12.6,58.8,12.3,49.8,97.7,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_cruz_2024.pdf,9.8,11.5,7.0,9.433333333333334,334752,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,8.3,6.0,2.9,0.3,2.1,435561.65681990056,510844.710982232,1093949.785465267,100057.50657256228,False,https://www.indec.gob.ar/ftp/cuadros/sociedad/serie_nbi_2022.xlsx,https://www.argentina.gob.ar/sites/default/files/gfyf_apnf_2024_-_trim._iv_1.xlsx
