report_period,publication_date,source_sha256,province,period,rank,source_page
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2019-Q4,3,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2020-Q1,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2020-Q2,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2020-Q3,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2020-Q4,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2021-Q1,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2021-Q2,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2021-Q3,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2021-Q4,3,24
2021-Q4,2022-08-09,5dd361e9c901bcfe6bc2f7ce192daa83b8fef788976f2df3db52dfd12571813b,San Juan,2015-Q1,2,24
2022-Q1,2022-10-19,6975c9639421e67f81238801f4a343ceeb14fc299383b18efd1d32df9b8f7b12,San Juan,2015-Q2,2,24
2022-Q2,2023-02-02,a23d02213fc4c6a974ebf2d34b726c567b95cf0df7d0995c9b5f511a7503bab1,San Juan,2015-Q3,2,24
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,San Juan,2015-Q4,1,24
2022-Q4,2023-06-26,84b37e726c99167e3fbd7d498dd584aababb19c153d2de8d6cdddad548c4c263,San Juan,2016-Q1,2,24
2023-Q1,2023-10-06,6a408f517031a1915fb549666b0cfe3278e1d149e611348a9247f7149c8fdbc6,San Juan,2016-Q2,2,24
