province,period,category,value_millions,price_basis,evidence_status,source_file,source_url
Chubut,2026-02,CFI | Neta,61074.4345,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-02,Compensación Consenso Fiscal,1334.76966,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-02,Total | (1) + (2),82178.06968575643,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-03,CFI | Neta,53109.495299999995,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-03,Compensación Consenso Fiscal,1557.23127,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-03,Total | (1) + (2),77364.13562372263,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-04,CFI | Neta,60664.8413,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-04,Compensación Consenso Fiscal,1729.27702,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-04,Total | (1) + (2),84488.46284943588,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-05,CFI | Neta,101439.8549,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-05,Compensación Consenso Fiscal,1642.813169,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-05,Total | (1) + (2),122490.10404984202,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Chubut,2026-06,CFI | Neta,67259.6453,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
