provincia,area,indicador,valor_base,unidad_y_lectura,periodo_base,fuente,nota_cobertura,meta,fecha_objetivo,responsable,frecuencia_seguimiento,fuente_seguimiento
Jujuy,Salud,Mortalidad infantil,6.0,"6,0 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
La Pampa,Seguridad,Víctimas de homicidio doloso,1.59238204430007,"1,6 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_42&start_date=2024-01-01&limit=10,,,,,,
La Pampa,Educación,Lengua · satisfactorio o avanzado,62.7,"62,7%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/la_pampa_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible.",,,,,
La Pampa,Educación,Matemática · satisfactorio o avanzado,19.6,"19,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/la_pampa_2024.pdf,"La participación estudiantil fue 81,3%. El ranking conserva esta cobertura visible.",,,,,
La Pampa,Salud,Mortalidad infantil,6.6,"6,6 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
La Rioja,Seguridad,Víctimas de homicidio doloso,2.72562608870178,"2,7 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_46&start_date=2024-01-01&limit=10,,,,,,
La Rioja,Educación,Lengua · satisfactorio o avanzado,49.6,"49,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/la_rioja_2024.pdf,"La participación estudiantil fue 85,9%. El ranking conserva esta cobertura visible.",,,,,
La Rioja,Educación,Matemática · satisfactorio o avanzado,9.2,"9,2%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/la_rioja_2024.pdf,"La participación estudiantil fue 85,9%. El ranking conserva esta cobertura visible.",,,,,
La Rioja,Salud,Mortalidad infantil,11.7,"11,7 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Mendoza,Seguridad,Víctimas de homicidio doloso,3.17509785407348,"3,2 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_50&start_date=2024-01-01&limit=10,,,,,,
Mendoza,Educación,Lengua · satisfactorio o avanzado,55.8,"55,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/mendoza_2024.pdf,"La participación estudiantil fue 81,0%. El ranking conserva esta cobertura visible.",,,,,
Mendoza,Educación,Matemática · satisfactorio o avanzado,17.3,"17,3%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/mendoza_2024.pdf,"La participación estudiantil fue 81,0%. El ranking conserva esta cobertura visible.",,,,,
Mendoza,Salud,Mortalidad infantil,7.6,"7,6 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Misiones,Seguridad,Víctimas de homicidio doloso,3.34729776370756,"3,3 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_54&start_date=2024-01-01&limit=10,,,,,,
Misiones,Educación,Lengua · satisfactorio o avanzado,51.6,"51,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/misiones_2024.pdf,"La participación estudiantil fue 75,7%. El ranking conserva esta cobertura visible.",,,,,
Misiones,Educación,Matemática · satisfactorio o avanzado,10.8,"10,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/misiones_2024.pdf,"La participación estudiantil fue 75,7%. El ranking conserva esta cobertura visible.",,,,,
Misiones,Salud,Mortalidad infantil,9.5,"9,5 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Neuquén,Seguridad,Víctimas de homicidio doloso,5.6913900651095,"5,7 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_58&start_date=2024-01-01&limit=10,,,,,,
Neuquén,Educación,Lengua · satisfactorio o avanzado,58.0,"58,0%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/neuquen_2024.pdf,"La participación estudiantil fue 42,5%. Se muestra el dato, pero se excluye del ranking por baja participación.",,,,,
