provincia,indicador,id,area,valor_base,periodo_base,unidad,referencia_mediana,universo_referencia,meta_propuesta,estado,criterio,horizonte,responsable_funcional,seguimiento,fuente,nota_cobertura
Córdoba,Víctimas de homicidio doloso,homicide_rate,Seguridad,2.42573400563225,2025,cada 100.000 habitantes,2.88960391691822,24,2.43,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_14&start_date=2024-01-01&limit=10,
Córdoba,Lengua · satisfactorio o avanzado,language_high,Educación,63.7,Aprender Secundaria 2024,%,54.65,22,63.7,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/cordoba_2024.pdf,"La participación estudiantil fue 88,8%. El ranking conserva esta cobertura visible."
Córdoba,Matemática · satisfactorio o avanzado,math_high,Educación,24.1,Aprender Secundaria 2024,%,16.25,22,24.1,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/cordoba_2024.pdf,"La participación estudiantil fue 88,8%. El ranking conserva esta cobertura visible."
Córdoba,Mortalidad infantil,infant_mortality,Salud,6.8,2024,cada 1.000 nacidos vivos,8.25,24,6.8,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Entre Ríos,Víctimas de homicidio doloso,homicide_rate,Seguridad,2.33007260232103,2025,cada 100.000 habitantes,2.88960391691822,24,2.33,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_30&start_date=2024-01-01&limit=10,
Entre Ríos,Lengua · satisfactorio o avanzado,language_high,Educación,61.3,Aprender Secundaria 2024,%,54.65,22,61.3,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/entre_rios_2024.pdf,"La participación estudiantil fue 73,2%. El ranking conserva esta cobertura visible."
Entre Ríos,Matemática · satisfactorio o avanzado,math_high,Educación,18.2,Aprender Secundaria 2024,%,16.25,22,18.2,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/entre_rios_2024.pdf,"La participación estudiantil fue 73,2%. El ranking conserva esta cobertura visible."
Entre Ríos,Mortalidad infantil,infant_mortality,Salud,8.8,2024,cada 1.000 nacidos vivos,8.25,24,8.53,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Formosa,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.0320003702232,2025,cada 100.000 habitantes,2.88960391691822,24,2.96,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_34&start_date=2024-01-01&limit=10,
Formosa,Lengua · satisfactorio o avanzado,language_high,Educación,46.2,Aprender Secundaria 2024,%,54.65,22,50.42,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/formosa_2024.pdf,"La participación estudiantil fue 77,5%. El ranking conserva esta cobertura visible."
