report_period,publication_date,source_sha256,province,year,source_page,tax,royalties,national_tax,social_income,other_income,income,personnel,current_transfers,capital,social_spend,other_spend,primary_spend,primary,interest_signed,financial
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Jujuy,2023,36,12.6,0.0,71.5,0.0,15.9,100.0,53.3,18.9,19.1,0.0,7.2,98.6,1.4,-2.7,-1.3
2024-Q2,2024-12-10,c71ad5ebdf037d9baa031c10a313f8a3516da21ff628259f5480beea09c222ef,La Pampa,2023,37,19.0,0.8,50.1,8.9,21.1,100.0,36.0,16.3,19.2,13.8,10.1,95.4,4.6,0.0,4.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,La Rioja,2023,37,7.8,0.0,70.4,0.0,21.8,100.0,39.6,28.7,17.6,0.0,13.8,99.6,0.4,-1.9,-1.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Mendoza,2023,38,27.5,3.9,45.5,0.0,23.1,100.0,37.5,24.0,22.1,0.0,11.4,95.0,5.0,-3.2,1.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Misiones,2023,39,28.4,0.0,48.9,11.5,11.2,100.0,37.5,35.8,11.1,10.1,5.0,99.5,0.5,-0.5,0.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Neuquén,2023,40,22.9,30.8,17.3,15.0,14.0,100.0,47.6,14.4,7.7,17.6,10.0,97.4,2.6,-2.4,0.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Río Negro,2023,41,22.4,5.2,63.1,0.0,9.4,100.0,66.2,20.7,4.8,0.0,8.2,99.9,0.1,-4.2,-4.1
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Salta,2023,42,21.8,1.3,61.0,0.0,16.0,100.0,57.7,24.5,7.9,0.0,7.0,97.2,2.8,-2.2,0.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Juan,2023,43,11.4,1.0,66.6,0.0,20.9,100.0,45.4,23.2,16.0,0.0,12.2,96.7,3.3,-0.9,2.4
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,San Luis,2023,44,17.9,0.0,59.3,0.0,22.7,100.0,42.2,14.6,46.2,0.0,4.7,107.6,-7.6,0.0,-7.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santa Cruz,2023,45,16.2,19.3,38.3,14.4,11.7,100.0,47.8,19.9,0.8,23.2,11.4,103.1,-3.1,-0.4,-3.5
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santa Fe,2023,46,25.6,0.0,50.7,12.4,11.2,100.0,44.1,23.8,9.0,20.1,7.1,104.1,-4.1,-1.5,-5.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2023,47,8.5,0.0,75.9,0.0,15.7,100.0,21.8,21.4,33.9,0.0,13.5,90.5,9.5,-0.6,8.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Tierra del Fuego,2023,48,18.9,4.6,44.5,12.9,19.1,100.0,50.2,20.4,8.2,13.9,7.5,100.2,-0.2,-4.5,-4.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Tucumán,2023,49,24.1,0.0,66.6,0.0,9.3,100.0,56.9,26.4,13.7,0.0,6.5,103.5,-3.5,-1.6,-5.1
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Buenos Aires,2024,27,40.1,0.0,38.7,15.5,5.6,100.0,43.0,28.5,6.4,18.9,6.0,102.9,-2.9,-3.1,-6.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Catamarca,2024,28,11.9,0.4,80.1,0.0,7.7,100.0,45.7,31.9,17.5,0.0,7.0,102.1,-2.1,-0.2,-2.3
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,CABA,2024,29,72.7,0.0,9.7,0.0,17.6,100.0,42.4,12.0,15.7,0.0,25.3,95.4,4.6,-1.5,3.1
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Córdoba,2024,30,25.7,0.0,44.9,13.0,16.3,100.0,32.4,18.8,14.8,17.0,10.5,93.6,6.4,-1.6,4.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Corrientes,2024,31,11.8,0.4,71.6,11.3,4.9,100.0,41.1,14.8,14.0,14.7,14.1,98.8,1.2,-0.2,1.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Chaco,2024,32,10.5,0.0,72.4,13.9,3.2,100.0,50.1,21.5,6.9,20.6,6.2,105.2,-5.2,-2.4,-7.6
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Chubut,2024,33,20.8,19.8,33.8,15.8,9.8,100.0,50.0,9.9,8.6,18.7,8.1,95.4,4.6,-2.2,2.5
